Job Title,Role,Qualifications,Experience,location,Country,Work Type,Job Description,Salary Range,Benefits
Front-End Engineer,UI/UX Front-End Developer,M.Com,0 to 13 Years,Brazzaville,Republic Of Congo,Contract,"UI/UX Front-End Developers focus on creating user-friendly and visually appealing interfaces for web and mobile applications. They work on user experience design, responsive layouts, and front-end development to optimize user interactions.",$65K-$109K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Landscape Designer,Sustainable Landscape Specialist,MCA,0 to 8 Years,Apia,Samoa,Part-Time,"Sustainable Landscape Specialists focus on creating environmentally friendly and sustainable landscapes. They incorporate eco-friendly practices, native plants, and water conservation techniques into landscape design and maintenance.",$61K-$85K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
Digital Marketing Specialist,Email Marketing Specialist,MCA,0 to 12 Years,Castries,St. Lucia,Contract,"Email Marketing Specialists design and execute email marketing campaigns. They create email content, segment email lists, and analyze campaign performance to achieve marketing goals and engage subscribers.",$55K-$101K,"{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}"
Family Nurse Practitioner,Primary Care Provider,BA,0 to 15 Years,Dodoma,Tanzania,Contract,"Primary Care Providers offer general medical care to patients. They diagnose and treat common health issues, perform check-ups, and refer patients to specialists as needed.",$56K-$88K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
HR Generalist,HR Coordinator,B.Com,3 to 12 Years,Nassau,"Bahamas, The",Intern,"HR Coordinators assist in HR functions such as recruitment, onboarding, and employee record maintenance. They often handle administrative tasks, organize training programs, and provide support to the HR department in various ways.",$55K-$83K,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}"
Sales Manager,Key Account Manager,BA,5 to 15 Years,Willemstad,Curacao,Full-Time,"Manage key client accounts, build strong relationships, and drive revenue growth.",$57K-$102K,"{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}"
Investment Banker,Financial Analyst,M.Com,0 to 8 Years,Cairo,Egypt,Intern,"A Financial Analyst conducts financial analysis, generates reports, and provides insights to support decision-making, budgeting, and financial planning.",$58K-$120K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Chemical Analyst,Quality Control Analyst,M.Com,2 to 11 Years,AsunciÃ³n,Paraguay,Intern,"In the role of a Quality Control Analyst, you will be responsible for inspecting and testing products to ensure they meet quality standards and specifications. You will use quality control tools and processes to identify defects, document findings, and recommend improvements. Your role is essential in maintaining product quality and customer satisfaction.",$55K-$105K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
Data Entry Clerk,Administrative Assistant,BA,0 to 13 Years,Georgetown,Guyana,Temporary,"An Administrative Assistant provides administrative support to the organization, including scheduling, document management, and assisting in day-to-day operations.",$63K-$88K,"{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}"
Art Director,Art Curator,MCA,5 to 12 Years,Doha,Qatar,Full-Time,"An Art Curator is responsible for managing and preserving a collection of artworks. They curate exhibitions, acquire new pieces, and educate the public about the art.",$60K-$95K,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}"
Interior Designer,Commercial Interior Designer,BCA,1 to 9 Years,Budapest,Hungary,Intern,A Commercial Interior Designer focuses on designing interior spaces for businesses and commercial properties. They optimize layouts for productivity and aesthetics.,$60K-$123K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Aerospace Engineer,Aircraft Design Engineer,BBA,0 to 11 Years,Algiers,Algeria,Temporary,"Aircraft Design Engineers design and develop aircraft systems and structures. They work on aircraft components, propulsion systems, and aerodynamics to ensure safety and efficiency.",$57K-$100K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Copywriter,SEO Copywriter,MCA,4 to 13 Years,Luxembourg,Luxembourg,Contract,SEO Copywriters specialize in creating content optimized for search engines. They incorporate keywords and SEO best practices to improve online visibility and search engine rankings for web pages and articles.,$59K-$122K,"{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}"
QA Analyst,Software QA Tester,PhD,4 to 9 Years,Belmopan,Belize,Intern,"Software QA Testers ensure the quality of software products by designing and executing test cases, identifying defects, and reporting issues to developers. They play a critical role in ensuring software reliability and functionality.",$55K-$98K,"{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}"
Nurse Practitioner,Acute Care Nurse Practitioner,M.Com,1 to 14 Years,Abu Dhabi,UAE,Temporary,"Acute Care Nurse Practitioners focus on managing acute and critical medical conditions, often working in hospitals or emergency care settings.",$60K-$90K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Accountant,Tax Accountant,MBA,2 to 9 Years,Papeete,French Polynesia,Intern,"Tax Accountants specialize in tax-related matters. They prepare tax returns, assist with tax planning, and ensure compliance with tax laws and regulations. They stay updated on tax codes and advise organizations on tax strategies.",$56K-$88K,"{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}"
Software Tester,Automation Tester,PhD,0 to 12 Years,Vaduz,Liechtenstein,Part-Time,An Automation Tester uses automated testing tools to verify the functionality and performance of software applications. They create and execute automated test scripts.,$57K-$126K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Brand Ambassador,Brand Promoter,MCA,5 to 15 Years,City of Baghdad,Iraq,Temporary,"Brand Promoters are responsible for promoting a companys brand or products. They engage with the target audience, create marketing strategies, and build brand awareness.",$59K-$112K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Art Teacher,Fine Arts Instructor,MCA,2 to 9 Years,Roseau,Dominica,Full-Time,"A Fine Arts Instructor teaches various forms of fine arts, such as painting, sculpture, or drawing, to students, guiding them in developing their artistic skills and creativity.",$62K-$101K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Investment Analyst,Portfolio Manager,BCA,2 to 15 Years,Valletta,Malta,Contract,"A Portfolio Manager oversees investment portfolios, making decisions to maximize returns and minimize risks. They analyze financial markets and adjust asset allocations accordingly.",$58K-$102K,"{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}"
Pharmaceutical Sales Representative,Territory Sales Manager,MCA,3 to 10 Years,Monaco,Monaco,Full-Time,"Territory Sales Managers oversee a specific sales territory, managing sales teams, setting goals, and developing strategies to meet sales objectives.",$61K-$110K,"{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}"
Marketing Analyst,Data Analyst,PhD,3 to 14 Years,Rome,Italy,Part-Time,"Analyze data sets, generate insights, and provide data-driven recommendations to inform business decisions.",$59K-$121K,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}"
Software Engineer,Frontend Developer,PhD,3 to 8 Years,Djibouti (city),Djibouti,Part-Time,"A Frontend Developer is responsible for designing and implementing user interfaces for web applications. They collaborate with designers to create visually appealing and responsive web pages, ensuring a seamless user experience across different devices and browsers.",$61K-$91K,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}"
Pharmaceutical Sales Representative,Territory Sales Manager,BA,4 to 8 Years,Pretoria,South Africa,Full-Time,"Territory Sales Managers oversee a specific sales territory, managing sales teams, setting goals, and developing strategies to meet sales objectives.",$59K-$128K,"{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}"
Executive Assistant,Project Coordinator,BBA,1 to 15 Years,City of Port Louis,Mauritius,Temporary,"Project Coordinators assist in planning, executing, and monitoring projects. They facilitate communication among team members, track project progress, and ensure tasks are completed on time.",$63K-$91K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Legal Advisor,Corporate Counsel,M.Tech,4 to 8 Years,Pristina,Kosovo,Full-Time,"As a Corporate Counsel, you will focus on legal matters related to corporate governance, mergers and acquisitions, and corporate compliance. You will draft and review corporate documents, oversee compliance programs, and handle complex legal negotiations. Your role includes managing legal relationships with external partners and providing strategic legal guidance to the company.",$56K-$129K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
